model,latency_sec,cpu_percent,memory_percent,response_length
phi3,26.143333333333334,24.933333333333334,70.56666666666666,1163.0
mistral,36.48,33.76666666666667,78.60000000000001,922.3333333333334
llama3,69.92666666666666,26.733333333333334,85.36666666666667,1624.0
